customer_id,order_date,order_time,sku,item_id,item_quantity,item_price,item_discount_raw,item_discount_percentage,item_disc_bins_item_disc_null,item_disc_bins_item_disc_sub_twenty,item_disc_bins_item_disc_sub_forty,item_disc_bins_item_disc_sub_sixty,item_disc_bins_item_disc_sub_eighty,item_disc_bins_item_disc_sub_hundred
4484,2023-04-19,14:31:19,,BK Wines Pet Nat Chardonnay 2021,1,62.0,0.0,0.0,True,False,False,False,False,False
4484,2023-04-19,14:31:19,,Alexandre Giquel Vouvray 2021,2,66.0,0.0,0.0,True,False,False,False,False,False
4485,2023-04-28,21:34:29,,Gabriëlskloof Landscape Series Syrah on Shale 2018,1,71.0,14.2,20.0,False,True,False,False,False,False
4485,2023-04-28,21:34:29,,Donnafugata Bell'Assai 2019,1,56.0,0.0,0.0,True,False,False,False,False,False
4485,2023-04-28,21:34:29,,Testament Pošip Zenit 2018,1,82.0,0.0,0.0,True,False,False,False,False,False
4485,2023-04-28,21:34:29,,Glassware,1,8.2,0.0,0.0,True,False,False,False,False,False
4486,2023-02-22,02:02:40,,Wine Ambassador Series: Discover Ukraine - 1400-1500,2,20.0,0.0,0.0,True,False,False,False,False,False
4487,2023-02-10,17:26:14,,Judith Beck Hunny Bunny 2021,1,58.0,0.0,0.0,True,False,False,False,False,False
4487,2023-02-10,17:26:14,,Glassware,1,5.8,0.0,0.0,True,False,False,False,False,False
4488,2022-11-26,18:30:40,,Gonzo Vino Le Freak 2021,1,185.0,18.5,10.0,False,True,False,False,False,False
4488,2022-11-26,18:30:40,,Gonzo Chard,2,166.5,0.0,0.0,True,False,False,False,False,False
4488,2022-11-26,18:30:40,,Gonzo Sparkling Chard,1,13.9,0.0,0.0,True,False,False,False,False,False
4489,2022-01-22,06:03:30,,L.A.S. Vino Cabernet Sauvignon 2018,1,95.0,0.0,0.0,True,False,False,False,False,False
4489,2022-01-22,06:03:30,,L.A.S. Vino Albino PNO 2019,1,72.0,0.0,0.0,True,False,False,False,False,False
4489,2022-01-22,06:03:30,,L.A.S. Vino CBDB 2020,1,77.0,0.0,0.0,True,False,False,False,False,False
4490,2022-01-22,01:53:20,,Ruggeri Argeo Prosecco Treviso Brut DOC NV,2,36.0,0.0,0.0,True,False,False,False,False,False
4490,2022-01-22,01:53:20,,Grans-Fassian Mineralschiefer Riesling Trocken 2014,1,39.0,0.0,0.0,True,False,False,False,False,False
4491,2022-01-22,01:52:00,,Westcott Vineyards Estate Pinot Noir 2016,1,55.0,0.0,0.0,True,False,False,False,False,False
4492,2022-01-22,01:50:52,,Westcott Vineyards Estate Pinot Noir 2016,1,55.0,0.0,0.0,True,False,False,False,False,False
4493,2022-10-31,13:55:05,BBW-WINE-169,Broc Cellars White Zinfandel 2020,1,72.0,0.0,0.0,True,False,False,False,False,False
4493,2022-10-31,13:55:05,BBW-WINE-168,Broc Cellars Got Grapes Red Blend NV,1,56.0,0.0,0.0,True,False,False,False,False,False
4494,2023-03-11,17:24:03,,Tikves Lepovo Pinot Noir 2016,1,69.0,0.0,0.0,True,False,False,False,False,False
4494,2023-03-11,17:24:03,,Couvent Rouge,1,48.0,0.0,0.0,True,False,False,False,False,False
4495,2022-01-22,00:54:21,,Ruggeri Prosecco Argeo,2,36.0,0.0,0.0,True,False,False,False,False,False
4495,2022-01-22,00:54:21,,BISOL Bel Star Cult Prosecco DOC Extra Dry,1,44.0,0.0,0.0,True,False,False,False,False,False
4496,2022-01-22,06:38:32,,Momento Mori Fistful Of Flowers 2020,1,68.0,0.0,0.0,True,False,False,False,False,False
4496,2022-01-22,06:38:32,,Naudé Old Vines Colombard Langpad 2021,1,65.0,0.0,0.0,True,False,False,False,False,False
4496,2022-01-22,06:38:32,,Asenovgrad Mavrud Special Reserve 2015,1,46.0,0.0,0.0,True,False,False,False,False,False
4496,2022-01-22,06:38:32,,"Lvnae Bosoni Liguria Levante ""Mea Rosa"" IGT 2019",1,58.0,0.0,0.0,True,False,False,False,False,False
4496,2022-01-22,06:38:32,,Catherine Marshall Chenin Blanc Fermented in Clay 2020,1,78.0,0.0,0.0,True,False,False,False,False,False
4497,2022-01-22,06:16:01,,Momento Mori Fistful Of Flowers 2020,1,68.0,0.0,0.0,True,False,False,False,False,False
4497,2022-01-22,06:16:01,,VIK Milla-Cala Millahue 2017,1,68.0,0.0,0.0,True,False,False,False,False,False
4497,2022-01-22,06:16:01,,Momento Mori Hazeldean Forest Farm Organic Apple Cider 2020,1,57.0,0.0,0.0,True,False,False,False,False,False
4497,2022-01-22,06:16:01,,Momento Mori Bianco 2019,1,81.0,0.0,0.0,True,False,False,False,False,False
4497,2022-01-22,06:16:01,,Orin Swift Cellars Abstract 2018,1,90.0,0.0,0.0,True,False,False,False,False,False
4498,2022-01-22,02:52:53,,Ciù Ciù Lacrima di Morro D'Alba DOC - 2018,2,54.0,0.0,0.0,True,False,False,False,False,False
4498,2022-01-22,02:52:53,,Avina Premium Wine Stoppers - Avina Wine Bottle Stopper,2,19.9,0.0,0.0,True,False,False,False,False,False
4499,2023-07-08,16:38:47,,Stolpman So Fresh Grenache Gamay Trousseau 2021,1,60.0,0.0,0.0,True,False,False,False,False,False
4499,2023-07-08,16:38:47,,Broc Cellars Trousseau Noir 2021,1,79.0,0.0,0.0,True,False,False,False,False,False
4499,2023-07-08,16:38:47,,Patrice Beguet Big Bunch Theory Fresh Impression Rouge 2021,1,61.0,0.0,0.0,True,False,False,False,False,False
4500,2023-04-19,13:58:43,BBW-WINE-726,Isole e Olena Chianti Classico DOCG 2019,1,67.0,0.0,0.0,True,False,False,False,False,False
4501,2022-01-22,07:02:38,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4502,2022-01-22,06:46:11,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4503,2022-01-22,06:31:57,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4504,2022-01-22,06:24:11,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4505,2022-01-22,06:12:01,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
