customer_id,order_date,order_time,item_id,item_quantity,item_price,item_discount_raw,item_discount_percentage,item_disc_bins_item_disc_null,item_disc_bins_item_disc_sub_twenty,item_disc_bins_item_disc_sub_forty,item_disc_bins_item_disc_sub_sixty,item_disc_bins_item_disc_sub_eighty,item_disc_bins_item_disc_sub_hundred
3262,2022-03-10,13:02:27,Marc Delienne Fleurie Brouilly “Pierreux” 2019,1,53.0,0.0,0.0,1,0,0,0,0,0
3262,2022-03-10,13:02:27,Marc Delienne Fleurie “Maurice” 2018,1,55.0,0.0,0.0,1,0,0,0,0,0
3263,2022-03-08,21:15:11,Cannonball Sonoma County Merlot 2019,2,44.0,0.0,0.0,1,0,0,0,0,0
3264,2022-03-04,10:46:44,Cannonball Sonoma County Merlot 2016,1,41.0,0.0,0.0,1,0,0,0,0,0
3265,2022-03-02,23:44:53,Casa Rojo La Marimorena Albariño 2019,1,58.0,0.0,0.0,1,0,0,0,0,0
3265,2022-03-02,23:44:53,Jansz Premium Rosé NV,1,58.0,0.0,0.0,1,0,0,0,0,0
3265,2022-03-02,23:44:53,Tohu Sauvignon Blanc 2020,1,46.0,0.0,0.0,1,0,0,0,0,0
3266,2022-03-01,05:29:38,Bargylus Grand Vin de Syrie Rouge,3,88.0,0.0,0.0,1,0,0,0,0,0
3267,2022-02-27,20:28:57,Cannonball Sonoma County Merlot 2016,2,47.0,0.0,0.0,1,0,0,0,0,0
3268,2022-02-26,22:05:37,Graham’s 10 Year Old Tawny NV,1,88.0,0.0,0.0,1,0,0,0,0,0
3269,2022-02-23,16:54:18,Bodegas El Nido Clío,1,114.0,0.0,0.0,1,0,0,0,0,0
3270,2022-02-20,16:57:50,Zenato Ripassa Valpolicella Ripasso DOC Superiore 2017,2,65.0,0.0,0.0,1,0,0,0,0,0
3271,2022-02-20,13:37:54,Graham’s 10 Year Old Tawny NV,1,88.0,0.0,0.0,1,0,0,0,0,0
3272,2022-02-15,23:17:35,J.K. Carriere Provocateur Pinot Noir 2017,1,76.0,0.0,0.0,1,0,0,0,0,0
3272,2022-02-15,23:17:35,Movia Rebula 2019,1,58.0,0.0,0.0,1,0,0,0,0,0
3272,2022-02-15,23:17:35,Château Marsyas Rouge 2013,1,68.0,0.0,0.0,1,0,0,0,0,0
3272,2022-02-15,23:17:35,Bodegas Matsu El Picaro 2020,2,48.0,0.0,0.0,1,0,0,0,0,0
3272,2022-02-15,23:17:35,Bodegas Matsu El Recio 2019,1,58.0,0.0,0.0,1,0,0,0,0,0
3273,2022-05-12,13:15:17,AMASS Botanic Vodka,3,89.0,0.0,0.0,1,0,0,0,0,0
3274,2022-03-30,09:37:34,AMASS Botanic Vodka,6,89.0,0.0,0.0,1,0,0,0,0,0
3275,2022-01-22,06:25:30,AMASS Botanic Vodka,2,89.0,0.0,0.0,1,0,0,0,0,0
3276,2022-01-22,06:09:15,AMASS Los Angeles Dry Gin,2,98.0,0.0,0.0,1,0,0,0,0,0
3277,2022-01-22,04:01:34,AMASS Gin & Vodka DUO,1,208.0,0.0,0.0,1,0,0,0,0,0
3278,2022-01-22,02:56:49,AMASS Gin & Vodka DUO,1,208.0,0.0,0.0,1,0,0,0,0,0
3279,2022-01-22,06:26:38,"Cheese, Charcuterie & Wine x onefiftypeel",1,112.0,0.0,0.0,1,0,0,0,0,0
3280,2022-09-16,15:13:56,Coppola Director's Cut Cinema 2017,1,92.0,0.0,0.0,1,0,0,0,0,0
3281,2022-05-02,12:43:15,Susana Balbo Barrel Ferment Torrontés 2020,1,56.0,0.0,0.0,1,0,0,0,0,0
